names,ids,types,grade,director,addr,actor,year,comment
与狼共舞,1293764,剧情 / 西部 / 冒险,8.9,凯文·科斯特纳,美国/英国,凯文·科斯特纳 / 玛丽·麦克唐纳 / 格雷厄姆·格林,20世纪90年代,86011
悲情城市,1294194,剧情 / 历史,9.0,侯孝贤,中国台湾,梁朝伟 / 辛树芬 / 陈松勇,20世纪80年代,121111
自闭历程,3236904,剧情 / 传记,8.9,米克·杰克逊,美国,克莱尔·丹尼斯 / 朱莉娅·奥蒙德 / 凯瑟琳·欧哈拉,21世纪10年代,71211
热情如火,1292574,喜剧,8.9,比利·怀尔德,美国,玛丽莲·梦露 / 托尼·柯蒂斯 / 杰克·莱蒙,20世纪50年代,75640
童年往事,1300572,剧情 / 传记 / 家庭,8.9,侯孝贤,中国台湾,游安顺 / 田丰 / 梅芳,20世纪80年代,70845
伴你高飞,1292642,冒险 / 剧情 / 家庭,8.8,卡罗尔·巴拉德,美国,杰夫·丹尼尔斯 / 安娜·帕奎因 / 达娜·德拉尼,20世纪90年代,60582
天佑鲍比,3154003,剧情 / 传记 / 同性,8.9,拉塞尔·穆卡希,美国,西格妮·韦弗 / 亨利·科泽尼 / 瑞恩·凯利,21世纪00年代,49968
黄昏双镖客,1295586,西部,8.9,赛尔乔·莱昂内,意大利/西班牙/西德,克林特·伊斯特伍德 / 李·范·克里夫 / 吉安·马里亚·沃隆特,20世纪60年代,57740
女人，四十,1308162,剧情 / 家庭,8.9,许鞍华,中国香港,萧芳芳 / 乔宏 / 罗家英,20世纪90年代,58685
大路,1292719,剧情,8.9,费德里科·费里尼,意大利,安东尼·奎恩 / 朱丽叶塔·马西纳 / 理查德·贝斯哈特,20世纪50年代,49509
听见天堂,2078398,剧情,8.8,克里斯提诺·波顿,意大利,Francesco Campobasso / 卢卡·卡波里提 / 马可·科奇,21世纪00年代,37009
卡里加里博士的小屋,1292547,犯罪 / 悬疑 / 恐怖,8.9,罗伯特·维内,德国,维尔纳·克劳斯 / 康拉德·韦特 / 弗里德里希·费赫尔,20世纪20年代,31209
我的父亲，我的儿子,1793200,剧情 / 家庭,8.9,查恩·厄尔马克,土耳其,切邓·泰肯多尔 / 菲克雷特·库斯坎 / 休姆拉,21世纪00年代,20547
乌龟也会飞,1400935,剧情 / 战争,8.8,巴赫曼·戈巴迪,伊朗/法国/伊拉克,索兰易卜拉欣 / 阿瓦兹拉蒂夫 / 萨达姆侯赛因费塞尔,21世纪00年代,11284
阿凡达,1652587,动作 / 科幻 / 冒险,8.8,詹姆斯·卡梅隆,美国,萨姆·沃辛顿 / 佐伊·索尔达娜 / 西格妮·韦弗,21世纪00年代,1501506
七宗罪,1292223,剧情 / 犯罪 / 悬疑 / 惊悚,8.8,大卫·芬奇,美国,摩根·弗里曼 / 布拉德·皮特 / 凯文·史派西,20世纪90年代,1002350
重庆森林,1291999,剧情 / 爱情,8.8,王家卫,中国香港,林青霞 / 金城武 / 梁朝伟,20世纪90年代,872578
告白,4268598,剧情 / 悬疑,8.8,中岛哲也,日本,松隆子 / 冈田将生 / 木村佳乃,21世纪10年代,710330
爱在黎明破晓前,1296339,剧情 / 爱情,8.8,理查德·林克莱特,美国/奥地利/瑞士,伊桑·霍克 / 朱莉·德尔佩 / 安德莉亚·埃克特,20世纪90年代,745732
阳光姐妹淘,4917726,剧情 / 喜剧,8.8,姜炯哲,韩国,沈恩敬 / 闵孝琳 / 姜素拉,21世纪10年代,615029
大鱼,1291545,剧情 / 爱情 / 奇幻 / 冒险,8.8,蒂姆·波顿,美国,伊万·麦克格雷格 / 阿尔伯特·芬尼 / 比利·克鲁德普,21世纪00年代,600523
电锯惊魂,1417598,悬疑 / 惊悚 / 恐怖,8.7,温子仁,美国,雷·沃纳尔 / 加利·艾尔维斯 / 丹尼·格洛弗,21世纪00年代,577242
纵横四海,1295409,剧情 / 喜剧 / 动作 / 犯罪,8.8,吴宇森,中国香港,周润发 / 张国荣 / 钟楚红,20世纪90年代,453884
谍影重重3,1578507,动作 / 悬疑 / 惊悚,8.8,保罗·格林格拉斯,美国/德国/法国/英国,马特·达蒙 / 朱丽娅·斯蒂尔斯 / 大卫·斯特雷泽恩,21世纪00年代,445955
罗生门,1291879,剧情 / 犯罪 / 悬疑,8.8,黑泽明,日本,三船敏郎 / 京町子 / 森雅之,20世纪50年代,338639
燃情岁月,1295865,剧情 / 爱情 / 战争 / 西部,8.7,爱德华·兹威克,美国,布拉德·皮特 / 安东尼·霍普金斯 / 艾丹·奎因,20世纪90年代,303570
魂断蓝桥,1293964,剧情 / 爱情 / 战争,8.8,茂文·勒鲁瓦,美国,费雯·丽 / 罗伯特·泰勒 / 露塞尔·沃特森,20世纪40年代,296613
步履不停,2222996,剧情 / 家庭,8.8,是枝裕和,日本,阿部宽 / 夏川结衣 / 江原由希子,21世纪00年代,303817
一次别离,5964718,剧情 / 家庭,8.8,阿斯加·法哈蒂,伊朗/法国,佩曼·莫阿迪 / 蕾拉·哈塔米 / 萨瑞·巴亚特,21世纪10年代,256486
梦之安魂曲,1292270,剧情,8.8,达伦·阿伦诺夫斯基,美国,艾伦·伯斯汀 / 杰瑞德·莱托 / 詹妮弗·康纳利,21世纪00年代,210049
极速风流,6803494,剧情 / 传记 / 运动,8.7,朗·霍华德,英国/德国/美国,克里斯·海姆斯沃斯 / 丹尼尔·布鲁赫 / 奥利维亚·王尔德,21世纪10年代,151547
刺猬的优雅,3824274,剧情,8.8,莫娜·阿查切,法国/意大利,若西安·巴拉斯科 / 佳朗丝·勒·吉耶米克 / 伊川东吾,21世纪00年代,162467
再见我们的幼儿园,5960606,剧情 / 儿童,8.8,水田伸生,日本,芦田爱菜 / 满岛光 / 桥本智哉,21世纪10年代,116855
四百击,1300056,犯罪 / 剧情,8.9,弗朗索瓦·特吕弗,法国,让-皮埃尔·利奥德 / 克莱尔·莫里耶 / 阿尔贝·雷米,20世纪50年代,130211
沙漠之花,3430271,剧情 / 传记,8.8,雪莉·霍曼,英国/德国/奥地利/法国,莉亚·科贝德 / 莎莉·霍金斯 / 梅拉·沙尔,21世纪00年代,122680
跳出我天地,1301169,剧情 / 儿童 / 歌舞 / 家庭,8.8,史蒂芬·戴德利,英国/法国,杰米·贝尔 / 朱丽·沃特斯 / 杰米·德拉文,21世纪00年代,114828
再见列宁,1292055,剧情 / 喜剧,8.8,沃尔夫冈·贝克,德国,丹尼尔·布鲁赫 / 卡特琳·萨斯 / 丘尔潘·哈马托娃,21世纪00年代,90926
野草莓,1293071,剧情 / 爱情 / 家庭,8.8,英格玛·伯格曼,瑞典,维克多·斯约斯特洛姆 / 毕比·安德松 / 英格丽·图林,20世纪50年代,81149
日落大道,1298733,剧情 / 黑色电影,8.8,比利·怀尔德,美国,威廉·霍尔登 / 葛洛丽亚·斯旺森 / 埃里克·冯·施特罗海姆,20世纪50年代,70488
追梦赤子心,1294753,传记 / 剧情 / 运动,8.8,大卫·安斯鲍夫,美国,西恩·奥斯汀 / 乔恩·费儒 / 尼德·巴蒂,20世纪90年代,65928
上帝也疯狂2,1294490,喜剧,8.8,加美·尤伊斯,南非/博茨瓦纳,历苏 / Lena Farugia / Hans Strydom,20世纪80年代,59659
迷墙,1296157,剧情 / 动画 / 奇幻,8.7,艾伦·帕克,英国,鲍勃·吉尔道夫 / Christine Hargreaves / 詹姆斯·劳伦森,20世纪80年代,51390
开罗紫玫瑰,1292994,喜剧 / 爱情 / 奇幻,8.8,伍迪·艾伦,美国,米娅·法罗 / 杰夫·丹尼尔斯 / 丹尼·爱罗,20世纪80年代,61561
桃色公寓,1394218,爱情 / 喜剧 / 剧情,8.8,比利·怀尔德,美国,杰克·莱蒙 / 雪莉·麦克雷恩 / 弗莱德·麦克莫瑞,20世纪60年代,57024
独立时代,1304476,剧情,8.8,杨德昌,中国台湾,陈湘琪 / 王柏森 / 邓安宁,20世纪90年代,64419
伊万的童年,1294421,剧情 / 战争,8.8,安德烈·塔可夫斯基 / 爱德华·阿巴洛夫,苏联,尼古拉·布尔里亚耶夫 / 瓦连京·祖布科夫 / 叶甫盖尼·扎里科夫,20世纪60年代,50028
永远的三丁目的夕阳,1463224,剧情 / 家庭,8.8,山崎贵,日本,吉冈秀隆 / 堤真一 / 药师丸博子,21世纪00年代,41296
因父之名,1297009,传记 / 剧情,8.7,吉姆·谢里丹,爱尔兰/英国/美国,丹尼尔·戴-刘易斯 / 皮特·波斯尔思韦特 / 约翰·林奇,20世纪90年代,41447
刺杀肯尼迪,1292230,传记 / 剧情 / 历史 / 悬疑 / 惊悚,8.8,奥利佛·斯通,美国/法国,凯文·科斯特纳 / 茜茜·斯派塞克 / 汤米·李·琼斯,20世纪90年代,42619
假面,1294438,剧情 / 惊悚,8.8,英格玛·伯格曼,瑞典,毕比·安德松 / 丽芙·乌尔曼 / 玛格丽塔·克罗克,20世纪60年代,38491
爱情短片,1294570,剧情 / 爱情,8.8,克日什托夫·基耶斯洛夫斯基,波兰,格拉日娜·沙波沃夫斯卡 / 奥拉夫·卢巴申科 / 斯特凡尼亚·伊文斯卡,20世纪80年代,32696
金色池塘,1293767,剧情 / 家庭,8.8,马克·雷戴尔,英国/美国,凯瑟琳·赫本 / 亨利·方达 / 简·方达,20世纪80年代,29546
桥,1305697,动作 / 战争,8.8,哈伊鲁丁·克尔瓦瓦茨,南斯拉夫,韦利米尔·巴塔·日沃伊诺维奇 / 斯洛博丹·佩罗维奇 / 鲍里斯·德沃尔尼克,20世纪60年代,24529
邮差,1298468,传记 / 喜剧 / 剧情 / 爱情,8.8,迈克尔·莱德福 / 马西莫·特洛伊西,意大利/法国/比利时,菲利普·努瓦雷 / 马西莫·特洛伊西 / 玛丽亚·格拉齐亚·库奇诺塔,20世纪90年代,29035
办公室的故事,1302205,剧情 / 喜剧 / 爱情,8.8,埃利达尔·梁赞诺夫,苏联,阿丽萨·弗雷因德利赫 / 安德烈·米亚赫科夫 / 斯维特拉娜·涅墨耶娃,20世纪70年代,21826
鲁冰花,1308228,家庭 / 剧情,8.8,杨立国,中国台湾,黄坤玄 / 李淑桢 / 张瑞竹,20世纪80年代,17786
豹,1293146,剧情 / 历史 / 爱情 / 战争,8.7,卢基诺·维斯康蒂,意大利/法国,伯特·兰卡斯特 / 克劳迪娅·卡汀娜 / 阿兰·德龙,20世纪60年代,17992
我的九月,1467748,剧情 / 儿童,8.7,尹力,中国大陆,张萌 / 张国立 / 陶泽如,20世纪90年代,12371
悲惨世界,1420080,剧情,8.8,让-保罗·勒沙努瓦,法国/意大利/东德,让·迦本 / 布尔维尔 / 费尔南·勒杜,20世纪50年代,8738
剪刀手爱德华,1292370,剧情 / 爱情 / 奇幻,8.7,蒂姆·波顿,美国,约翰尼·德普 / 薇诺娜·瑞德 / 黛安·韦斯特,20世纪90年代,1084115
天使爱美丽,1292215,剧情 / 喜剧 / 爱情,8.7,让-皮埃尔·热内,法国/德国,奥黛丽·塔图 / 马修·卡索维茨 / 吕菲斯,21世纪00年代,991183
射雕英雄传之东成西就,1316510,喜剧 / 奇幻 / 武侠 / 古装,8.7,刘镇伟,中国香港,梁朝伟 / 林青霞 / 张国荣,20世纪90年代,681945
岁月神偷,3792799,剧情 / 家庭,8.7,罗启锐,中国香港/中国大陆,吴君如 / 任达华 / 钟绍图,21世纪10年代,596523
浪潮,2297265,剧情 / 惊悚,8.7,丹尼斯·甘塞尔,德国,于尔根·福格尔 / 弗雷德里克·劳 / 马克思·雷迈特,21世纪00年代,285713
卡萨布兰卡,1296753,剧情 / 爱情 / 战争,8.7,迈克尔·柯蒂兹,美国,亨弗莱·鲍嘉 / 英格丽·褒曼 / 保罗·亨雷德,20世纪40年代,233050
叫我第一名,4798888,剧情 / 传记,8.7,彼得·维纳,美国,詹姆斯·沃克 / 特里特·威廉斯 / 多米尼克·斯科特·凯伊,21世纪00年代,203681
燕尾蝶,1307793,犯罪 / 剧情,8.7,岩井俊二,日本,恰拉 / 伊藤步 / 三上博史,20世纪90年代,181304
碧海蓝天,1300960,剧情 / 爱情,8.6,吕克·贝松,法国/意大利,让-马克·巴尔 / 让·雷诺 / 罗姗娜·阿奎特,20世纪80年代,149734
上帝也疯狂,1297478,喜剧,8.7,加美·尤伊斯,南非/博茨瓦纳,马瑞斯·威尔斯 / Sandra Prinsloo / 历苏,20世纪80年代,144369
蓝白红三部曲之红,1292047,剧情 / 爱情 / 悬疑,8.8,克日什托夫·基耶斯洛夫斯基,法国/波兰/瑞士,伊莲娜·雅各布 / 让-路易·特兰蒂尼昂 / 弗雷德里奎·费德,20世纪90年代,130269
中央车站,1292218,剧情,8.7,沃尔特·塞勒斯,巴西/法国,费尔南达·蒙特内格罗 / 文尼西斯·狄·奥利维拉 / 马里利娅·佩拉,20世纪90年代,112494
莫扎特传,1293399,剧情 / 传记 / 历史 / 音乐,8.7,米洛斯·福尔曼,美国/法国,F·默里·亚伯拉罕 / 汤姆·休斯克 / 伊丽莎白·贝里奇,20世纪80年代,99246
热天午后,1293374,剧情 / 喜剧 / 犯罪,8.7,西德尼·吕美特,美国,阿尔·帕西诺 / 约翰·凯泽尔 / 查尔斯·德恩,20世纪70年代,109200
精英部队2：大敌当前,4304402,剧情 / 动作 / 犯罪 / 惊悚,8.7,何塞·帕迪里亚,巴西,瓦格纳·马拉 / 安德烈·拉米罗 / 米尔黑·考塔兹,21世纪10年代,89840
斯图尔特：倒带人生,2133337,剧情,8.6,戴维·阿特伍德,英国,汤姆·哈迪 / 本尼迪克特·康伯巴奇 / George Anton,21世纪00年代,63914
小城之春,1323746,剧情 / 爱情,8.7,费穆,中国大陆,李纬 / 韦伟 / 石羽,20世纪40年代,65578
骗中骗,1292269,剧情 / 喜剧 / 犯罪,8.7,乔治·罗伊·希尔,美国,保罗·纽曼 / 罗伯特·雷德福 / 罗伯特·肖,20世纪70年代,60643
西部往事,1293394,剧情 / 犯罪 / 西部,8.7,赛尔乔·莱昂内,意大利/美国,亨利·方达 / 查尔斯·布朗森 / 克劳迪娅·卡汀娜,20世纪60年代,60345
秋刀鱼之味,1294433,剧情 / 家庭,8.6,小津安二郎,日本,笠智众 / 岩下志麻 / 冈田茉莉子,20世纪60年代,48871
战舰波将金号,1293492,剧情 / 历史 / 战争,8.7,谢尔盖·爱森斯坦,苏联,亚历山大·安东诺夫 / 弗拉迪米尔·巴斯基 / 格里高利·亚历山德罗夫,20世纪20年代,32622
晚春,1307265,剧情 / 家庭,8.6,小津安二郎,日本,笠智众 / 原节子 / 月丘梦路,20世纪40年代,27772
芬妮与亚历山大,1292784,剧情,8.7,英格玛·伯格曼,法国/瑞典/西德,克里斯蒂娜·阿道夫森 / 伯杰·阿斯特 / 佩妮娜·奥威,20世纪80年代,20966
天堂的颜色,1304406,剧情 / 家庭,8.7,马基德·马基迪,伊朗,侯赛因·马哈古 / Mohsen Ramezani / Salameh Feyzi,20世纪90年代,14077
爱犬的奇迹,2357302,剧情 / 儿童,8.7,猪股隆一,日本,船越英一郎 / 松本明子 / 广田亮平,21世纪00年代,13148
恐惧的代价,1299932,剧情 / 惊悚 / 冒险,8.6,亨利-乔治·克鲁佐,法国/意大利,伊夫·蒙当 / 夏尔·瓦内尔 / 福尔科·卢利,20世纪50年代,15311
巴比龙,1293820,剧情 / 传记 / 犯罪,8.7,富兰克林·沙夫纳,法国/美国,史蒂夫·麦奎因 / 达斯汀·霍夫曼 / 维克托·乔里,20世纪70年代,15264
神迹,1401196,剧情 / 传记,8.7,约瑟夫·萨金特,美国,艾伦·瑞克曼 / 茅斯·达夫 / 玛丽·斯图尔特·马斯特森,21世纪00年代,14710
一九零零,1300956,剧情 / 历史 / 爱情 / 战争,8.7,贝纳尔多·贝托鲁奇,意大利/法国/西德,罗伯特·德尼罗 / 热拉尔·德帕迪约 / 多米妮克·桑达,20世纪70年代,11761
英雄本色,1297574,剧情 / 动作 / 犯罪,8.6,吴宇森,中国香港,周润发 / 狄龙 / 张国荣,20世纪80年代,577540
撞车,1388216,犯罪 / 剧情,8.6,保罗·哈吉斯,美国/德国/澳大利亚,桑德拉·布洛克 / 唐·钱德尔 / 马特·狄龙,21世纪00年代,301939
海盗电台,3007773,剧情 / 喜剧 / 音乐,8.6,理查德·柯蒂斯,英国/德国/法国,比尔·奈伊 / 肯尼思·布拉纳 / 菲利普·塞默·霍夫曼,21世纪00年代,240651
大卫·戈尔的一生,1305725,剧情 / 犯罪 / 悬疑,8.6,艾伦·帕克,美国/德国/英国/西班牙,凯文·史派西 / 凯特·温斯莱特 / 劳拉·琳妮,21世纪00年代,245944
荒野生存,1905462,冒险 / 传记 / 剧情,8.6,西恩·潘,美国,埃米尔·赫斯基 / 马西娅·盖伊·哈登 / 威廉·赫特,21世纪00年代,228452
不一样的天空,1301617,剧情 / 爱情 / 家庭,8.6,拉斯·霍尔斯道姆,美国,约翰尼·德普 / 莱昂纳多·迪卡普里奥 / 朱丽叶特·刘易斯,20世纪90年代,146892
巴黎淘气帮,3157605,儿童 / 喜剧 / 家庭,8.6,洛朗·蒂拉尔,法国/比利时,马克西姆·戈达尔 / 瓦莱丽·勒梅西埃 / 凯德·麦拉德,21世纪00年代,135130
老爷车,3026357,剧情,8.6,克林特·伊斯特伍德,美国/德国,克林特·伊斯特伍德 / 克里斯托弗·卡利 / 比·王,21世纪00年代,103142
天伦之旅,3041749,剧情 / 家庭,8.6,柯克·琼斯,美国,罗伯特·德尼罗 / 凯特·贝金赛尔 / 山姆·洛克威尔,21世纪00年代,101954
布达佩斯之恋,1301106,爱情 / 剧情,8.6,诺夫·舒贝尔,德国/匈牙利,艾丽卡·莫露珊 / 约阿希姆·克罗尔 / 斯特法诺·迪奥尼斯,20世纪90年代,85784
小情人,1394488,儿童 / 喜剧,8.6,威特查·戈杰乌 / 颂裕·素玛戈南 / 尼提瓦·塔拉吞 / 维塔亚·东俞扬 / 埃迪森·特斯利卡森 / 孔里特·契威摩,泰国,查理·瑞纳 / 霍嘉丝·芝华顾 / Charwin Jitsomboon,21世纪00年代,60486
德州巴黎,1302061,剧情,8.5,维姆·文德斯,西德/法国/英国/美国,哈利·戴恩·斯坦通 / 萨姆·贝瑞 / 伯恩哈德·维基,20世纪80年代,80387
西伯利亚的理发师,1303001,喜剧 / 剧情 / 爱情,8.6,尼基塔·米哈尔科夫,俄罗斯/法国/意大利/捷克,朱莉娅·奥蒙德 / 欧列格·缅希科夫 / 阿列克谢·彼得连科,20世纪90年代,42112
东京塔,1855131,剧情 / 家庭,8.6,松冈锭司,日本,小田切让 / 树木希林 / 伊藤步,21世纪00年代,39457
想飞的钢琴少年,1900840,剧情 / 音乐,8.5,弗兰迪-M.米偌,瑞士,法比齐奥·波萨尼 / 泰欧·盖尔基 / 朱莉卡·詹金斯,21世纪00年代,30607
史崔特先生的故事,1298506,剧情 / 传记,8.5,大卫·林奇,法国/英国/美国,茜茜·斯派塞克 / Jane Galloway Heitz / Joseph A. Carpenter,20世纪90年代,35658
甜蜜的生活,1293271,剧情 / 喜剧,8.6,费德里科·费里尼,意大利/法国,马塞洛·马斯楚安尼 / 安妮塔·艾克伯格 / 阿努克·艾梅,20世纪60年代,35832
呼喊与细语,1296147,剧情 / 爱情,8.5,英格玛·伯格曼,瑞典,哈里特·安德森 / 卡莉·西尔万 / 英格丽·图林,20世纪70年代,37091
回归,1308074,剧情 / 家庭,8.6,安德烈·兹维亚金采夫,俄罗斯,弗拉迪米尔·加林 / 伊万·杜布朗拉沃夫 / 康斯坦丁·拉夫罗年科,21世纪00年代,33064
暴雨将至,1303036,剧情 / 战争,8.6,米尔科·曼彻夫斯基,马其顿/法国/英国,格莱戈尔·科林 / Dzemail Maksut / 拉宾娜·米特威斯卡,20世纪90年代,30879
虎豹小霸王,1297602,冒险 / 犯罪 / 剧情 / 西部,8.6,乔治·罗伊·希尔,美国,保罗·纽曼 / 罗伯特·雷德福 / 凯瑟琳·罗斯,20世纪60年代,22768
烈日灼人,1301867,剧情 / 历史,8.6,尼基塔·米哈尔科夫,俄罗斯/法国,欧列格·缅希科夫 / 尼基塔·米哈尔科夫 / 茵格保加·达坤耐特,20世纪90年代,22265
无声婚礼,3419943,喜剧 / 剧情,8.6,霍拉丘·默勒埃莱,罗马尼亚/卢森堡/法国,梅达·安德列亚·维克托 / 亚历山德鲁·波托切安 / 瓦伦汀·蒂奥多修,21世纪00年代,17955
霹雳五号,1294366,喜剧 / 家庭 / 科幻,8.6,约翰·班德汉姆,美国,艾丽·西蒂 / 斯蒂夫·古根伯格 / 费舍·史蒂芬斯,20世纪80年代,14451
史密斯先生到华盛顿,1297127,剧情,8.5,弗兰克·卡普拉,美国,琪恩·亚瑟 / 詹姆斯·斯图尔特 / 克劳德·雷恩斯,20世纪30年代,13038
两个人的车站,1297585,剧情 / 爱情,8.6,埃利达尔·梁赞诺夫,苏联,柳德米拉·古尔琴柯 / 奥列格·巴希拉什维利 / 尼基塔·米哈尔科夫,20世纪80年代,10098
艾美的世界,1295025,剧情 / 音乐,8.5,纳迪娅·塔斯,澳大利亚,艾拉娜·德·罗玛 / 瑞切尔·格里菲斯 / 本·门德尔森,20世纪90年代,6156
毕加索的奇异旅程,1308686,喜剧,8.6,塔格·丹尼尔松,瑞典,约斯塔·埃克曼 / 汉斯·阿尔弗莱德森 / 玛格丽塔·克罗克,20世纪70年代,5898
罗密欧与朱丽叶,1295467,剧情 / 爱情,8.7,佛朗哥·泽菲雷里,英国/意大利,莱昂纳德·怀廷 / 奥丽维娅·赫西 / 约翰·麦克埃尼,20世纪60年代,13882
恐怖直播,21360417,剧情 / 犯罪 / 悬疑,8.7,金秉祐,韩国,河正宇 / 李璟荣 / 全慧珍,21世纪10年代,696305
相助,3792848,剧情,8.9,泰特·泰勒,美国/印度/阿联酋,艾玛·斯通 / 维奥拉·戴维斯 / 布莱丝·达拉斯·霍华德,21世纪10年代,131528
布达佩斯大饭店,11525673,剧情 / 喜剧 / 冒险,8.9,韦斯·安德森,美国/德国/英国,拉尔夫·费因斯 / 托尼·雷沃罗利 / 阿德里安·布罗迪,21世纪10年代,1019791
消失的爱人,21318488,剧情 / 犯罪 / 悬疑 / 惊悚,8.7,大卫·芬奇,美国,本·阿弗莱克 / 裴淳华 / 尼尔·帕特里克·哈里斯,21世纪10年代,1023295
疯狂的麦克斯4：狂暴之路,3592854,动作 / 科幻 / 冒险,8.7,乔治·米勒,澳大利亚/美国,汤姆·哈迪 / 查理兹·塞隆 / 尼古拉斯·霍尔特,21世纪10年代,586283
布朗克斯的故事,1295070,犯罪 / 剧情,8.8,罗伯特·德尼罗,美国,罗伯特·德尼罗 / 查兹·帕尔明特瑞 / 李洛·布兰卡托,20世纪90年代,24008
荒蛮故事,24750126,剧情 / 喜剧 / 犯罪,8.8,达米安·斯兹弗隆,阿根廷/西班牙,达里奥·格兰迪内蒂 / 玛丽娅·玛努尔 / 莫妮卡·比利亚,21世纪10年代,472869
查令十字街84号,1299481,传记 / 剧情 / 爱情,8.7,大卫·休·琼斯,英国/美国,安妮·班克罗夫特 / 安东尼·霍普金斯 / 朱迪·丹奇,20世纪80年代,24581
血战钢锯岭,26325320,剧情 / 传记 / 历史 / 战争,8.7,梅尔·吉布森,澳大利亚/美国,安德鲁·加菲尔德 / 萨姆·沃辛顿 / 文斯·沃恩,21世纪10年代,823976
房间,25724855,剧情 / 家庭,8.8,伦尼·阿伯拉罕森,爱尔兰/加拿大/英国/美国,布丽·拉尔森 / 雅各布·特伦布莱 / 肖恩·布里吉格斯,21世纪10年代,386893
请以你的名字呼唤我,26799731,剧情 / 爱情 / 同性,8.8,卢卡·瓜达尼诺,意大利/法国/巴西/美国,艾米·汉莫 / 提莫西·查拉梅 / 迈克尔·斯图巴,21世纪10年代,779738
霍金传,1482022,剧情 / 传记,8.5,菲利普·马丁,英国,本尼迪克特·康伯巴奇 / 丽莎·迪伦 / 亚当·戈德利,21世纪00年代,21066
头号玩家,4920389,动作 / 科幻 / 冒险,8.6,史蒂文·斯皮尔伯格,美国,泰伊·谢里丹 / 奥利维亚·库克 / 本·门德尔森,21世纪10年代,1446282
看不见的客人,26580232,剧情 / 犯罪 / 悬疑 / 惊悚,8.8,奥里奥尔·保罗,西班牙,马里奥·卡萨斯 / 阿娜·瓦格纳 / 何塞·科罗纳多,21世纪10年代,1366032
大佛普拉斯,27059130,剧情 / 喜剧,8.7,黄信尧,中国台湾,庄益增 / 陈竹升 / 戴立忍,21世纪10年代,515339
海边的曼彻斯特,25980443,剧情 / 家庭,8.6,肯尼思·洛纳根,美国,卡西·阿弗莱克 / 卢卡斯·赫奇斯 / 米歇尔·威廉姆斯,21世纪10年代,605846
我能说,27000061,剧情 / 喜剧,8.8,金炫锡,韩国,罗文姬 / 李帝勋 / 廉惠兰,21世纪10年代,109684
无主之地,1306303,剧情 / 战争,8.6,丹尼斯·塔诺维奇,波黑/斯洛文尼亚/意大利/法国/英国/比利时,布兰科·德约里奇 / 雷内·比托拉亚茨 / 菲利普·索瓦戈维奇,21世纪00年代,33923
歌厅,1296282,剧情 / 爱情 / 歌舞,8.8,鲍勃·福斯,美国,丽莎·明内利 / 麦克尔·约克 / 赫尔穆特·格里姆,20世纪70年代,14828
我们俩,1756073,剧情,8.8,马俪文,中国大陆,宫哲 / 金雅琴 / 张淑芳,21世纪00年代,124383
波西米亚狂想曲,5300054,剧情 / 传记 / 同性 / 音乐,8.6,布莱恩·辛格,英国/美国,拉米·马雷克 / 本·哈迪 / 约瑟夫·梅泽罗,21世纪10年代,654328
乌鸦与麻雀,1424627,剧情,8.7,郑君里,中国大陆,赵丹 / 上官云珠 / 孙道临,20世纪40年代,12764
早安,1298063,喜剧,8.6,小津安二郎,日本,杉村春子 / 笠智众 / 久我美子,20世纪50年代,12063
上海滩,6311260,剧情 / 动作 / 犯罪,8.9,招振强,中国香港,周润发 / 吕良伟 / 赵雅芝,20世纪80年代,12007
新世界,10437779,剧情 / 犯罪,8.9,朴勋政,韩国,李政宰 / 崔岷植 / 黄政民,21世纪10年代,489543
寄生虫,27010768,剧情,8.8,奉俊昊,韩国,宋康昊 / 李善均 / 曹汝贞,21世纪10年代,1466847
小丑,27119724,剧情 / 犯罪 / 惊悚,8.7,托德·菲利普斯,美国/加拿大,华金·菲尼克斯 / 罗伯特·德尼罗 / 马克·马龙,21世纪10年代,1081228
一个叫欧维的男人决定去死,26628357,剧情,8.9,汉内斯·赫尔姆,瑞典,罗夫·拉斯加德 / 巴哈·帕斯 / 托比亚斯·阿姆博瑞,21世纪10年代,527162
谍影重重,1304102,动作 / 悬疑 / 惊悚,8.6,道格·里曼,美国/德国/捷克,马特·达蒙 / 弗朗卡·波滕特 / 克里斯·库珀,21世纪00年代,459354
黄昏的清兵卫,1307306,剧情 / 历史 / 爱情,8.8,山田洋次,日本,真田广之 / 宫泽理惠 / 小林稔侍,21世纪00年代,37313
谍影重重2,1308767,动作 / 悬疑 / 惊悚,8.7,保罗·格林格拉斯,美国/德国,马特·达蒙 / 布莱恩·考克斯 / 琼·艾伦,21世纪00年代,377403
终结者2：审判日,1291844,动作 / 科幻,8.8,詹姆斯·卡梅隆,美国/法国,阿诺·施瓦辛格 / 琳达·汉密尔顿 / 爱德华·福隆,20世纪90年代,363954
黑鹰坠落,1291824,动作 / 历史 / 战争,8.7,雷德利·斯科特,美国/英国,乔什·哈奈特 / 伊万·麦克格雷格 / 汤姆·塞兹摩尔,21世纪00年代,301182
断背山,1418834,剧情 / 爱情 / 同性 / 家庭,8.8,李安,美国/加拿大,希斯·莱杰 / 杰克·吉伦哈尔 / 米歇尔·威廉姆斯,21世纪00年代,746952
南极大冒险,1477448,剧情 / 冒险,8.7,弗兰克·马歇尔,美国,保罗·沃克 / 布鲁斯·格林伍德 / 穆恩·布拉得古德,21世纪00年代,88350
